Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.1 2018-06-11
Full Report (All Nutrients)
Report Run at: July 02 2018 05:35 EDT
"Nutrient data for: Nuts, brazilnuts, dried, unblanched"
Food Group:  Nut and Seed Products
Common Name:brazil nuts
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.46 
Refuse: 49% Refuse Description: Shells 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, whole = 133.0g","1 kernel = 5.0g","1 oz (6 kernels) = 28.35g",
Proximates
"Water",g,3.42,10,0.250,4.55,0.17,0.97
"Energy",kcal,659,--,--,876,33,187
"Energy",kJ,2757,--,--,3667,138,782
"Protein",g,14.32,7,0.140,19.05,0.72,4.06
"Total lipid (fat)",g,67.10,11,0.580,89.24,3.35,19.02
"Ash",g,3.43,8,0.070,4.56,0.17,0.97
"Carbohydrate, by difference",g,11.74,--,--,15.61,0.59,3.33
"Fiber, total dietary",g,7.5,3,0.200,10.0,0.4,2.1
"Sugars, total",g,2.33,7,0.070,3.10,0.12,0.66
"Sucrose",g,2.33,7,0.070,3.10,0.12,0.66
"Glucose (dextrose)",g,0.00,7,0.000,0.00,0.00,0.00
"Fructose",g,0.00,7,0.000,0.00,0.00,0.00
"Lactose",g,0.00,7,0.000,0.00,0.00,0.00
"Maltose",g,0.00,7,0.000,0.00,0.00,0.00
"Galactose",g,0.00,7,0.000,0.00,0.00,0.00
"Starch",g,0.25,7,0.000,0.33,0.01,0.07
Minerals
"Calcium, Ca",mg,160,7,5.000,213,8,45
"Iron, Fe",mg,2.43,7,0.030,3.23,0.12,0.69
"Magnesium, Mg",mg,376,7,3.000,500,19,107
"Phosphorus, P",mg,725,7,5.000,964,36,206
"Potassium, K",mg,659,7,8.000,876,33,187
"Sodium, Na",mg,3,7,0.000,4,0,1
"Zinc, Zn",mg,4.06,7,0.040,5.40,0.20,1.15
"Copper, Cu",mg,1.743,7,0.021,2.318,0.087,0.494
